# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -9.9e-13 
1 0 0 0 0 0 -1e-07 0 0 -1.98e-12 
2 0 0 0 0 0 -1e-07 0 0 -2.97e-12 
3 0 0 0 0 0 -1e-07 0 0 -3.96e-12 
4 0 0 0 0 0 -1e-07 0 0 -4.95e-12 
5 0 0 0 0 0 -1e-07 0 0 -5.94e-12 
6 0 0 0 0 0 -1e-07 0 0 -6.93e-12 
7 0 0 0 0 0 -1e-07 0 0 -7.92e-12 
8 0 0 0 0 0 -1e-07 0 0 -8.91e-12 
9 0 0 0 0 0 -1e-07 0 0 -9.9e-12 
10 0 0 0 0 0 -1e-07 0 0 -1.089e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.188e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.287e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.386e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.485e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.584e-11 
16 0 0 0 0 0 -1e-07 0 0 -1.683e-11 
17 0 0 0 0 0 -1e-07 0 0 -1.782e-11 
18 0 0 0 0 0 -1e-07 0 0 -1.881e-11 
19 0 0 0 0 0 -1e-07 0 0 -1.98e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.079e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.178e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.277e-11 
23 0 0 0 0 0 -1e-07 0 0 -2.376e-11 
24 0 0 0 0 0 -1e-07 0 0 -2.475e-11 
25 0 0 0 0 0 -1e-07 0 0 -2.574e-11 
26 0 0 0 0 0 -1e-07 0 0 -2.673e-11 
27 2.40277e-10 3.39326e-11 -0.0212739 0 0 -1e-07 0 0 -2.772e-11 
28 0 0 0 0 0 -1e-07 0 0 -2.871e-11 
29 -1.49377e-11 -2.94274e-11 -0.0351646 0 0 -1e-07 0 0 -2.97e-11 
30 -3.02155e-10 -9.0321e-11 -0.0303801 0 0 -1e-07 0 0 -3.069e-11 
31 -5.35314e-11 -4.83918e-11 -0.0188905 0 0 -1e-07 0 0 -3.168e-11 
32 -3.57291e-10 1.1406e-10 -0.0318644 0 0 -1e-07 0 0 -3.267e-11 
33 8.34136e-05 8.66725e-05 -0.0607393 0 0 -1e-07 0 0 -3.366e-11 
34 -1.66411e-06 1.17415e-06 -0.0320049 0 0 -1e-07 0 0 -3.465e-11 
35 7.68956e-11 7.67993e-11 -0.0259627 0 0 -1e-07 0 0 -3.564e-11 
36 1.95939e-10 -8.12245e-11 -0.0523657 0 0 -1e-07 0 0 -3.663e-11 
37 -6.25659e-05 -0.000180411 -0.0729626 0 0 -1e-07 0 0 -3.762e-11 
38 2.39518e-05 1.45481e-05 -0.0224041 0 0 -1e-07 0 0 -3.861e-11 
39 -2.19059e-06 3.30536e-05 -0.0478572 0 0 -1e-07 0 0 -3.96e-11 
40 -6.68776e-06 0.000174426 -0.142743 0 0 -1e-07 0 0 -4.059e-11 
41 0.000109105 9.95544e-05 -0.146827 0 0 -1e-07 0 0 -4.158e-11 
42 -3.87508e-05 4.71488e-05 -0.126798 0 0 -1e-07 0 0 -4.257e-11 
43 -1.99366e-05 0.000133415 -0.123167 0 0 -1e-07 0 0 -4.356e-11 
44 0.000101963 -0.000462854 -0.164591 0 0 -1e-07 0 0 -4.455e-11 
