# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.386e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.772e-12 
2 0 0 0 0 0 -1e-07 0 0 -4.15801e-12 
3 0 0 0 0 0 -1e-07 0 0 -5.54401e-12 
4 0 0 0 0 0 -1e-07 0 0 -6.93001e-12 
5 0 0 0 0 0 -1e-07 0 0 -8.31601e-12 
6 0 0 0 0 0 -1e-07 0 0 -9.70202e-12 
7 0 0 0 0 0 -1e-07 0 0 -1.1088e-11 
8 0 0 0 0 0 -1e-07 0 0 -1.2474e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.386e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.5246e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.6632e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.8018e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.9404e-11 
14 0 0 0 0 0 -1e-07 0 0 -2.079e-11 
15 0 0 0 0 0 -1e-07 0 0 -2.2176e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.3562e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.4948e-11 
18 0 0 0 0 0 -1e-07 0 0 -2.6334e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.772e-11 
20 3.00615e-11 -1.24903e-11 -0.0115562 0 0 -1e-07 0 0 -2.91061e-11 
21 -1.02948e-10 5.40072e-11 -0.0342688 0 0 -1e-07 0 0 -3.04921e-11 
22 4.95496e-11 -2.98225e-11 -0.00983121 0 0 -1e-07 0 0 -3.18781e-11 
23 -6.24675e-11 -2.27552e-11 -0.0167952 0 0 -1e-07 0 0 -3.32641e-11 
24 3.36749e-11 4.6528e-11 -0.039323 0 0 -1e-07 0 0 -3.46501e-11 
25 9.97375e-05 9.93945e-05 -0.0229284 0 0 -1e-07 0 0 -3.60361e-11 
26 -3.24161e-05 -7.16379e-05 -0.0354348 0 0 -1e-07 0 0 -3.74221e-11 
27 -5.86186e-05 -6.41154e-05 -0.0435126 0 0 -1e-07 0 0 -3.88081e-11 
28 -4.76941e-05 -0.000162715 -0.0476258 0 0 -1e-07 0 0 -4.01941e-11 
29 1.33114e-05 -3.14191e-05 -0.0846383 0 0 -1e-07 0 0 -4.15801e-11 
30 6.63504e-05 -0.000131627 -0.0554685 0 0 -1e-07 0 0 -4.29661e-11 
31 0.000182039 -9.80068e-05 -0.145474 0 0 -1e-07 0 0 -4.43521e-11 
32 -0.000130813 -0.000130472 -0.0503395 0 0 -1e-07 0 0 -4.57381e-11 
33 -0.000172595 -0.000290173 -0.105081 0 0 -1e-07 0 0 -4.71241e-11 
34 -3.44755e-05 -0.000447693 -0.119366 0 0 -1e-07 0 0 -4.85101e-11 
35 0.000167923 -5.05937e-05 -0.0761378 0 0 -1e-07 0 0 -4.98961e-11 
36 0.000435229 7.25551e-05 -0.25088 0 0 -1e-07 0 0 -5.12821e-11 
37 0.000152871 -0.000345479 -0.145649 0 0 -1e-07 0 0 -5.26681e-11 
38 -3.6667e-05 0.000211505 -0.0967329 0 0 -1e-07 0 0 -5.40541e-11 
