# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -3.267e-12 
1 0 0 0 0 0 -1e-07 0 0 -6.534e-12 
2 0 0 0 0 0 -1e-07 0 0 -9.80099e-12 
3 0 0 0 0 0 -1e-07 0 0 -1.3068e-11 
4 0 0 0 0 0 -1e-07 0 0 -1.6335e-11 
5 0 0 0 0 0 -1e-07 0 0 -1.9602e-11 
6 0 0 0 0 0 -1e-07 0 0 -2.2869e-11 
7 0 0 0 0 0 -1e-07 0 0 -2.6136e-11 
8 0 0 0 0 0 -1e-07 0 0 -2.9403e-11 
9 -1.60187e-12 9.2181e-12 -0.0127844 0 0 -1e-07 0 0 -3.267e-11 
10 -8.04165e-14 -1.23759e-11 -0.0136631 0 0 -1e-07 0 0 -3.5937e-11 
11 1.91337e-12 4.3724e-12 -0.0162704 0 0 -1e-07 0 0 -3.9204e-11 
12 -3.40561e-07 6.77518e-07 -0.0251804 0 0 -1e-07 0 0 -4.2471e-11 
13 -1.06301e-05 -4.18697e-05 -0.0501826 0 0 -1e-07 0 0 -4.5738e-11 
14 7.09366e-05 -6.35427e-05 -0.0383567 0 0 -1e-07 0 0 -4.9005e-11 
15 3.57982e-05 -6.63887e-06 -0.0489828 0 0 -1e-07 0 0 -5.2272e-11 
16 -1.4514e-05 -1.05412e-05 -0.0647892 0 0 -1e-07 0 0 -5.5539e-11 
17 3.03806e-06 -5.64093e-05 -0.0991068 0 0 -1e-07 0 0 -5.8806e-11 
18 7.97952e-05 -5.2619e-05 -0.0921435 0 0 -1e-07 0 0 -6.2073e-11 
19 -2.45444e-05 3.43105e-05 -0.0933652 0 0 -1e-07 0 0 -6.534e-11 
20 0.000277404 9.10957e-06 -0.119345 0 0 -1e-07 0 0 -6.8607e-11 
21 9.34094e-05 -0.000131467 -0.110068 0 0 -1e-07 0 0 -7.1874e-11 
22 0.000216498 -5.08171e-05 -0.126647 0 0 -1e-07 0 0 -7.51409e-11 
23 0.000177189 0.000142454 -0.107327 0 0 -1e-07 0 0 -7.84079e-11 
24 5.90183e-05 -0.000253124 -0.0981097 0 0 -1e-07 0 0 -8.16749e-11 
25 -4.61589e-05 0.000336678 -0.118611 0 0 -1e-07 0 0 -8.49419e-11 
26 -9.382e-05 0.000414553 -0.147807 0 0 -1e-07 0 0 -8.82089e-11 
27 -1.41517e-05 -0.000106365 -0.124586 0 0 -1e-07 0 0 -9.14759e-11 
28 3.20026e-06 -4.15965e-05 -0.113915 0 0 -1e-07 0 0 -9.47429e-11 
29 0.000633519 -9.05663e-06 -0.121339 0 0 -1e-07 0 0 -9.80099e-11 
30 0.000141979 0.000270187 -0.122086 0 0 -1e-07 0 0 -1.01277e-10 
31 -2.64454e-05 8.06207e-05 -0.155779 0 0 -1e-07 0 0 -1.04544e-10 
32 -0.000214747 6.84892e-05 -0.114377 0 0 -1e-07 0 0 -1.07811e-10 
33 -8.97247e-05 -2.99177e-05 -0.0903816 0 0 -1e-07 0 0 -1.11078e-10 
