# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.48501e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.97001e-12 
2 0 0 0 0 0 -1e-07 0 0 -4.45502e-12 
3 0 0 0 0 0 -1e-07 0 0 -5.94003e-12 
4 0 0 0 0 0 -1e-07 0 0 -7.42503e-12 
5 0 0 0 0 0 -1e-07 0 0 -8.91004e-12 
6 0 0 0 0 0 -1e-07 0 0 -1.0395e-11 
7 0 0 0 0 0 -1e-07 0 0 -1.18801e-11 
8 0 0 0 0 0 -1e-07 0 0 -1.33651e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.48501e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.63351e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.78201e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.93051e-11 
13 0 0 0 0 0 -1e-07 0 0 -2.07901e-11 
14 0 0 0 0 0 -1e-07 0 0 -2.22751e-11 
15 0 0 0 0 0 -1e-07 0 0 -2.37601e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.52451e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.67301e-11 
18 -3.13954e-11 -6.4975e-11 -0.0111435 0 0 -1e-07 0 0 -2.82151e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.97001e-11 
20 -1.12784e-10 -3.0182e-11 -0.0349683 0 0 -1e-07 0 0 -3.11851e-11 
21 -5.8033e-11 7.7626e-11 -0.0264848 0 0 -1e-07 0 0 -3.26701e-11 
22 5.78078e-11 3.31581e-11 -0.0223523 0 0 -1e-07 0 0 -3.41552e-11 
23 4.82861e-11 -4.01463e-11 -0.0170081 0 0 -1e-07 0 0 -3.56402e-11 
24 1.70373e-05 2.91381e-05 -0.0514659 0 0 -1e-07 0 0 -3.71252e-11 
25 -2.86104e-05 -3.11892e-05 -0.0367292 0 0 -1e-07 0 0 -3.86102e-11 
26 -1.44681e-05 -5.54621e-05 -0.0313854 0 0 -1e-07 0 0 -4.00952e-11 
27 3.91603e-05 -3.62536e-05 -0.0575664 0 0 -1e-07 0 0 -4.15802e-11 
28 -6.32542e-05 -3.8165e-05 -0.105696 0 0 -1e-07 0 0 -4.30652e-11 
29 -1.24464e-05 2.39311e-05 -0.0927131 0 0 -1e-07 0 0 -4.45502e-11 
30 7.47363e-05 -0.000128838 -0.0675887 0 0 -1e-07 0 0 -4.60352e-11 
31 -4.05761e-05 -0.00010662 -0.14387 0 0 -1e-07 0 0 -4.75202e-11 
