# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -9.9e-13 
1 0 0 0 0 0 -1e-07 0 0 -1.98e-12 
2 0 0 0 0 0 -1e-07 0 0 -2.97e-12 
3 0 0 0 0 0 -1e-07 0 0 -3.96e-12 
4 0 0 0 0 0 -1e-07 0 0 -4.95e-12 
5 0 0 0 0 0 -1e-07 0 0 -5.94e-12 
6 0 0 0 0 0 -1e-07 0 0 -6.93e-12 
7 0 0 0 0 0 -1e-07 0 0 -7.92e-12 
8 0 0 0 0 0 -1e-07 0 0 -8.91e-12 
9 0 0 0 0 0 -1e-07 0 0 -9.9e-12 
10 0 0 0 0 0 -1e-07 0 0 -1.089e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.188e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.287e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.386e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.485e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.584e-11 
16 0 0 0 0 0 -1e-07 0 0 -1.683e-11 
17 0 0 0 0 0 -1e-07 0 0 -1.782e-11 
18 0 0 0 0 0 -1e-07 0 0 -1.881e-11 
19 0 0 0 0 0 -1e-07 0 0 -1.98e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.079e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.178e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.277e-11 
23 0 0 0 0 0 -1e-07 0 0 -2.376e-11 
24 0 0 0 0 0 -1e-07 0 0 -2.475e-11 
25 0 0 0 0 0 -1e-07 0 0 -2.574e-11 
26 0 0 0 0 0 -1e-07 0 0 -2.673e-11 
27 -8.47716e-12 -9.24568e-11 -0.0212739 0 0 -1e-07 0 0 -2.772e-11 
28 0 0 0 0 0 -1e-07 0 0 -2.871e-11 
29 5.7941e-11 -1.41279e-10 -0.0351646 0 0 -1e-07 0 0 -2.97e-11 
30 -1.48451e-10 -4.82183e-11 -0.0303801 0 0 -1e-07 0 0 -3.069e-11 
31 5.14277e-12 -8.12975e-11 -0.0188905 0 0 -1e-07 0 0 -3.168e-11 
32 -5.63819e-11 -1.78516e-10 -0.0318644 0 0 -1e-07 0 0 -3.267e-11 
33 7.05554e-05 7.64584e-05 -0.0613172 0 0 -1e-07 0 0 -3.366e-11 
34 -2.16701e-06 1.44415e-06 -0.0320063 0 0 -1e-07 0 0 -3.465e-11 
35 2.47713e-10 -4.16259e-11 -0.0259627 0 0 -1e-07 0 0 -3.564e-11 
36 3.72649e-11 -2.35907e-10 -0.0523657 0 0 -1e-07 0 0 -3.663e-11 
37 -4.74384e-05 -0.000154343 -0.0727211 0 0 -1e-07 0 0 -3.762e-11 
38 -3.50955e-06 -8.69324e-05 -0.0414162 0 0 -1e-07 0 0 -3.861e-11 
39 8.43571e-06 2.77218e-05 -0.0289533 0 0 -1e-07 0 0 -3.96e-11 
40 -0.000159795 -0.000186992 -0.168251 0 0 -1e-07 0 0 -4.059e-11 
41 0.000155452 4.01555e-05 -0.147866 0 0 -1e-07 0 0 -4.158e-11 
42 -0.0001111 4.3637e-05 -0.128335 0 0 -1e-07 0 0 -4.257e-11 
43 -2.74592e-05 -1.26672e-05 -0.0908526 0 0 -1e-07 0 0 -4.356e-11 
44 0.00014334 -0.000429903 -0.151399 0 0 -1e-07 0 0 -4.455e-11 
