# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -3.267e-12 
1 0 0 0 0 0 -1e-07 0 0 -6.534e-12 
2 0 0 0 0 0 -1e-07 0 0 -9.80099e-12 
3 0 0 0 0 0 -1e-07 0 0 -1.3068e-11 
4 0 0 0 0 0 -1e-07 0 0 -1.6335e-11 
5 0 0 0 0 0 -1e-07 0 0 -1.9602e-11 
6 0 0 0 0 0 -1e-07 0 0 -2.2869e-11 
7 0 0 0 0 0 -1e-07 0 0 -2.6136e-11 
8 0 0 0 0 0 -1e-07 0 0 -2.9403e-11 
9 5.34333e-12 -8.75195e-12 -0.0127844 0 0 -1e-07 0 0 -3.267e-11 
10 2.21521e-11 -1.66021e-11 -0.0136631 0 0 -1e-07 0 0 -3.5937e-11 
11 -1.0012e-11 9.2963e-12 -0.0162704 0 0 -1e-07 0 0 -3.9204e-11 
12 -6.05008e-07 7.49853e-07 -0.0251729 0 0 -1e-07 0 0 -4.2471e-11 
13 -9.33588e-06 -3.91651e-05 -0.0498949 0 0 -1e-07 0 0 -4.5738e-11 
14 2.78789e-05 -6.00262e-05 -0.0358781 0 0 -1e-07 0 0 -4.9005e-11 
15 6.77585e-05 2.98521e-08 -0.051562 0 0 -1e-07 0 0 -5.2272e-11 
16 3.33007e-05 -2.12983e-06 -0.060399 0 0 -1e-07 0 0 -5.5539e-11 
17 -1.21929e-05 -4.11028e-05 -0.105026 0 0 -1e-07 0 0 -5.8806e-11 
18 8.9222e-05 -8.04844e-05 -0.0883395 0 0 -1e-07 0 0 -6.2073e-11 
19 -2.49779e-05 -2.10621e-05 -0.0928989 0 0 -1e-07 0 0 -6.534e-11 
20 0.000165795 5.9899e-05 -0.118568 0 0 -1e-07 0 0 -6.8607e-11 
21 0.000104398 -0.000126483 -0.104388 0 0 -1e-07 0 0 -7.1874e-11 
22 0.000151924 7.09473e-05 -0.0973555 0 0 -1e-07 0 0 -7.51409e-11 
23 0.000368998 0.000132909 -0.113192 0 0 -1e-07 0 0 -7.84079e-11 
24 -0.000125385 -2.59361e-05 -0.0981679 0 0 -1e-07 0 0 -8.16749e-11 
25 4.06176e-05 0.000120238 -0.135869 0 0 -1e-07 0 0 -8.49419e-11 
26 -0.000210473 0.000409828 -0.148651 0 0 -1e-07 0 0 -8.82089e-11 
27 0.000181326 2.81769e-05 -0.132934 0 0 -1e-07 0 0 -9.14759e-11 
28 6.10284e-07 7.42572e-05 -0.131763 0 0 -1e-07 0 0 -9.47429e-11 
29 3.19488e-05 -2.18879e-05 -0.0981732 0 0 -1e-07 0 0 -9.80099e-11 
30 9.1717e-05 -0.000118195 -0.0882246 0 0 -1e-07 0 0 -1.01277e-10 
31 7.62691e-05 -0.000264523 -0.132125 0 0 -1e-07 0 0 -1.04544e-10 
32 -2.23197e-05 0.00011166 -0.136308 0 0 -1e-07 0 0 -1.07811e-10 
33 -0.000171079 -3.03234e-05 -0.130072 0 0 -1e-07 0 0 -1.11078e-10 
