# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -9.9e-13 
1 0 0 0 0 0 -1e-07 0 0 -1.98e-12 
2 0 0 0 0 0 -1e-07 0 0 -2.97e-12 
3 0 0 0 0 0 -1e-07 0 0 -3.96e-12 
4 0 0 0 0 0 -1e-07 0 0 -4.95e-12 
5 0 0 0 0 0 -1e-07 0 0 -5.94e-12 
6 0 0 0 0 0 -1e-07 0 0 -6.93e-12 
7 0 0 0 0 0 -1e-07 0 0 -7.92e-12 
8 0 0 0 0 0 -1e-07 0 0 -8.91e-12 
9 0 0 0 0 0 -1e-07 0 0 -9.9e-12 
10 0 0 0 0 0 -1e-07 0 0 -1.089e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.188e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.287e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.386e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.485e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.584e-11 
16 0 0 0 0 0 -1e-07 0 0 -1.683e-11 
17 0 0 0 0 0 -1e-07 0 0 -1.782e-11 
18 0 0 0 0 0 -1e-07 0 0 -1.881e-11 
19 0 0 0 0 0 -1e-07 0 0 -1.98e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.079e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.178e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.277e-11 
23 0 0 0 0 0 -1e-07 0 0 -2.376e-11 
24 0 0 0 0 0 -1e-07 0 0 -2.475e-11 
25 0 0 0 0 0 -1e-07 0 0 -2.574e-11 
26 0 0 0 0 0 -1e-07 0 0 -2.673e-11 
27 2.65146e-12 3.53143e-11 -0.025326 0 0 -1e-07 0 0 -2.772e-11 
28 0 0 0 0 0 -1e-07 0 0 -2.871e-11 
29 6.30935e-10 -3.68958e-10 -0.0418626 0 0 -1e-07 0 0 -2.97e-11 
30 -2.25197e-10 6.04461e-11 -0.0361668 0 0 -1e-07 0 0 -3.069e-11 
31 3.099e-10 1.29204e-10 -0.0224887 0 0 -1e-07 0 0 -3.168e-11 
32 -3.3355e-11 -8.04717e-10 -0.0379338 0 0 -1e-07 0 0 -3.267e-11 
33 0.000112253 9.0284e-05 -0.0732594 0 0 -1e-07 0 0 -3.366e-11 
34 -1.9299e-06 2.36709e-06 -0.0381012 0 0 -1e-07 0 0 -3.465e-11 
35 3.46885e-10 -6.98503e-11 -0.0309079 0 0 -1e-07 0 0 -3.564e-11 
36 0.000132366 7.69971e-05 -0.0811236 0 0 -1e-07 0 0 -3.663e-11 
37 -0.000109503 -0.000276946 -0.10092 0 0 -1e-07 0 0 -3.762e-11 
38 6.86871e-06 -6.26591e-05 -0.0553717 0 0 -1e-07 0 0 -3.861e-11 
39 -2.3161e-05 0.000149999 -0.0677644 0 0 -1e-07 0 0 -3.96e-11 
40 -5.112e-05 -0.000229979 -0.130448 0 0 -1e-07 0 0 -4.059e-11 
41 -0.000191089 2.00614e-06 -0.177796 0 0 -1e-07 0 0 -4.158e-11 
42 -2.56398e-05 -0.000117049 -0.10226 0 0 -1e-07 0 0 -4.257e-11 
43 9.94965e-05 -0.000712332 -0.201765 0 0 -1e-07 0 0 -4.356e-11 
44 -0.00035332 -0.000610062 -0.232417 0 0 -1e-07 0 0 -4.455e-11 
45 0.000221061 -0.000460632 -0.0621777 0 0 -1e-07 0 0 -4.554e-11 
