# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.18799e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.37599e-12 
2 0 0 0 0 0 -1e-07 0 0 -3.56398e-12 
3 0 0 0 0 0 -1e-07 0 0 -4.75198e-12 
4 0 0 0 0 0 -1e-07 0 0 -5.93997e-12 
5 0 0 0 0 0 -1e-07 0 0 -7.12796e-12 
6 0 0 0 0 0 -1e-07 0 0 -8.31596e-12 
7 0 0 0 0 0 -1e-07 0 0 -9.50395e-12 
8 0 0 0 0 0 -1e-07 0 0 -1.06919e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.18799e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.30679e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.42559e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.54439e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.66319e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.78199e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.90079e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.01959e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.13839e-11 
18 0 0 0 0 0 -1e-07 0 0 -2.25719e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.37599e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.49479e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.61359e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.73239e-11 
23 -1.78451e-12 6.63868e-12 -0.0159474 0 0 -1e-07 0 0 -2.85119e-11 
24 -8.816e-11 6.17037e-11 -0.0256094 0 0 -1e-07 0 0 -2.96999e-11 
25 -1.77841e-11 -4.13859e-11 -0.0222787 0 0 -1e-07 0 0 -3.08878e-11 
26 5.82039e-11 -4.72292e-11 -0.0139423 0 0 -1e-07 0 0 -3.20758e-11 
27 -9.40233e-11 -1.43757e-11 -0.0543832 0 0 -1e-07 0 0 -3.32638e-11 
28 7.69846e-11 -3.65554e-11 -0.0231899 0 0 -1e-07 0 0 -3.44518e-11 
29 2.74857e-05 4.74103e-05 -0.0129754 0 0 -1e-07 0 0 -3.56398e-11 
30 3.19136e-11 -4.45284e-11 -0.0579845 0 0 -1e-07 0 0 -3.68278e-11 
31 1.61672e-06 -4.10076e-07 -0.0404825 0 0 -1e-07 0 0 -3.80158e-11 
32 9.23963e-06 -4.25271e-05 -0.043512 0 0 -1e-07 0 0 -3.92038e-11 
33 1.03548e-05 -5.34501e-05 -0.0732846 0 0 -1e-07 0 0 -4.03918e-11 
34 -3.23381e-05 2.00197e-06 -0.0963861 0 0 -1e-07 0 0 -4.15798e-11 
35 -0.000139121 -8.93555e-05 -0.0640804 0 0 -1e-07 0 0 -4.27678e-11 
36 7.36651e-05 0.000205108 -0.130546 0 0 -1e-07 0 0 -4.39558e-11 
37 -5.72878e-05 -0.000292093 -0.0947159 0 0 -1e-07 0 0 -4.51438e-11 
38 -3.18758e-05 -1.60894e-05 -0.0657061 0 0 -1e-07 0 0 -4.63318e-11 
39 -1.95986e-06 -0.00017726 -0.174433 0 0 -1e-07 0 0 -4.75198e-11 
40 -1.81041e-05 -8.56116e-05 -0.0466867 0 0 -1e-07 0 0 -4.87078e-11 
41 0.000139669 0.000162538 -0.145786 0 0 -1e-07 0 0 -4.98958e-11 
42 0.000143947 -3.68937e-05 -0.199054 0 0 -1e-07 0 0 -5.10837e-11 
43 -3.63823e-05 5.84052e-05 -0.205388 0 0 -1e-07 0 0 -5.22717e-11 
44 9.86204e-05 1.40577e-05 -0.110729 0 0 -1e-07 0 0 -5.34597e-11 
45 0.000106667 5.54301e-05 -0.0992627 0 0 -1e-07 0 0 -5.46477e-11 
46 -9.76912e-05 -4.60908e-05 -0.208451 0 0 -1e-07 0 0 -5.58357e-11 
47 -3.26446e-05 -5.0418e-05 -0.195355 0 0 -1e-07 0 0 -5.70237e-11 
48 -7.84927e-05 -2.11034e-05 -0.1951 0 0 -1e-07 0 0 -5.82117e-11 
49 -0.000282254 -2.80197e-05 -0.300684 0 0 -1e-07 0 0 -5.93997e-11 
50 0.000166983 0.000142432 -0.350617 0 0 -1e-07 0 0 -6.05877e-11 
51 0.000135871 0.000209867 -0.230745 0 0 -1e-07 0 0 -6.17757e-11 
52 0.000267294 -0.000315224 -0.147004 0 0 -1e-07 0 0 -6.29637e-11 
53 0.000420837 -0.000258383 -0.431835 0 0 -1e-07 0 0 -6.41517e-11 
54 -0.00012138 -2.32678e-05 -0.232873 0 0 -1e-07 0 0 -6.53397e-11 
55 -4.33122e-05 -0.00020998 -0.13226 0 0 -1e-07 0 0 -6.65277e-11 
56 -2.70008e-05 -0.000609925 -0.216846 0 0 -1e-07 0 0 -6.77157e-11 
57 -6.22239e-05 1.91542e-05 -0.243511 0 0 -1e-07 0 0 -6.89037e-11 
58 -0.000136079 0.000290125 -0.340152 0 0 -1e-07 0 0 -7.00917e-11 
59 -0.000200326 -0.000245066 -0.394058 0 0 -1e-07 0 0 -7.12796e-11 
60 -0.000396921 -0.000289659 -0.334567 0 0 -1e-07 0 0 -7.24676e-11 
61 -0.000410063 -8.56509e-05 -0.399902 0 0 -1e-07 0 0 -7.36556e-11 
62 -0.000517927 -5.31985e-05 -0.236004 0 0 -1e-07 0 0 -7.48436e-11 
63 -0.000225686 5.01305e-05 -0.219613 0 0 -1e-07 0 0 -7.60316e-11 
64 -0.000556156 -5.01709e-05 -0.288931 0 0 -1e-07 0 0 -7.72196e-11 
65 -6.63086e-05 0.000881984 -0.431485 0 0 -1e-07 0 0 -7.84076e-11 
66 -0.000171652 -0.000360965 -0.356345 0 0 -1e-07 0 0 -7.95956e-11 
67 0.000162678 -0.000216925 -0.329399 0 0 -1e-07 0 0 -8.07836e-11 
68 0.000405662 -2.49081e-05 -0.37983 0 0 -1e-07 0 0 -8.19716e-11 
69 -0.000122297 0.000407806 -0.290166 0 0 -1e-07 0 0 -8.31596e-11 
70 -3.14209e-05 0.000665877 -0.291677 0 0 -1e-07 0 0 -8.43476e-11 
71 0.000579537 -0.000179198 -0.266935 0 0 -1e-07 0 0 -8.55356e-11 
72 0.000327025 0.000309123 -0.289166 0 0 -1e-07 0 0 -8.67236e-11 
73 0.000295265 0.000148044 -0.313973 0 0 -1e-07 0 0 -8.79116e-11 
74 -0.000288358 -0.000340864 -0.23268 0 0 -1e-07 0 0 -8.90996e-11 
75 -0.00038241 0.000598272 -0.20491 0 0 -1e-07 0 0 -9.02876e-11 
76 -8.08514e-05 0.000132443 -0.365325 0 0 -1e-07 0 0 -9.14755e-11 
77 -0.000568454 0.000516745 -0.51907 0 0 -1e-07 0 0 -9.26635e-11 
78 -0.000936072 -0.000868133 -0.279811 0 0 -1e-07 0 0 -9.38515e-11 
79 -0.000468271 -0.000359873 -0.232504 0 0 -1e-07 0 0 -9.50395e-11 
80 -0.000206651 -0.000241695 -0.305636 0 0 -1e-07 0 0 -9.62275e-11 
81 -0.00122259 0.000669087 -0.244767 0 0 -1e-07 0 0 -9.74155e-11 
82 2.88169e-05 -0.000139748 -0.111692 0 0 -1e-07 0 0 -9.86035e-11 
