# step Fx Fy Fz Vx Vy Vz Dx Dy Dz
0 0 0 0 0 0 -1e-07 0 0 -9.9e-13
1 0 0 0 0 0 -1e-07 0 0 -1.98e-12
2 0 0 0 0 0 -1e-07 0 0 -2.97e-12
3 0 0 0 0 0 -1e-07 0 0 -3.96e-12
4 0 0 0 0 0 -1e-07 0 0 -4.95e-12
5 0 0 0 0 0 -1e-07 0 0 -5.94e-12
6 0 0 0 0 0 -1e-07 0 0 -6.93e-12
7 0 0 0 0 0 -1e-07 0 0 -7.92e-12
8 0 0 0 0 0 -1e-07 0 0 -8.91e-12
9 0 0 0 0 0 -1e-07 0 0 -9.9e-12
10 0 0 0 0 0 -1e-07 0 0 -1.089e-11
11 0 0 0 0 0 -1e-07 0 0 -1.188e-11
12 0 0 0 0 0 -1e-07 0 0 -1.287e-11
13 0 0 0 0 0 -1e-07 0 0 -1.386e-11
14 0 0 0 0 0 -1e-07 0 0 -1.485e-11
15 0 0 0 0 0 -1e-07 0 0 -1.584e-11
16 0 0 0 0 0 -1e-07 0 0 -1.683e-11
17 0 0 0 0 0 -1e-07 0 0 -1.782e-11
18 0 0 0 0 0 -1e-07 0 0 -1.881e-11
19 0 0 0 0 0 -1e-07 0 0 -1.98e-11
20 0 0 0 0 0 -1e-07 0 0 -2.079e-11
21 0 0 0 0 0 -1e-07 0 0 -2.178e-11
22 0 0 0 0 0 -1e-07 0 0 -2.277e-11
23 0 0 0 0 0 -1e-07 0 0 -2.376e-11
24 0 0 0 0 0 -1e-07 0 0 -2.475e-11
25 0 0 0 0 0 -1e-07 0 0 -2.574e-11
26 0 0 0 0 0 -1e-07 0 0 -2.673e-11
27 1.26479e-10 -5.65003e-11 -0.0212739 0 0 -1e-07 0 0 -2.772e-11
28 0 0 0 0 0 -1e-07 0 0 -2.871e-11
29 -2.78127e-10 5.9832e-11 -0.0351646 0 0 -1e-07 0 0 -2.97e-11
30 -5.44251e-11 4.53088e-11 -0.0303801 0 0 -1e-07 0 0 -3.069e-11
31 1.60754e-10 8.44316e-11 -0.0188905 0 0 -1e-07 0 0 -3.168e-11
32 -9.8228e-11 -5.45802e-11 -0.0318644 0 0 -1e-07 0 0 -3.267e-11
33 7.02328e-05 8.63102e-05 -0.0600631 0 0 -1e-07 0 0 -3.366e-11
34 -1.70416e-06 9.94524e-07 -0.0320126 0 0 -1e-07 0 0 -3.465e-11
35 5.8778e-11 -1.92324e-11 -0.0259627 0 0 -1e-07 0 0 -3.564e-11
36 -2.00169e-11 -5.25999e-11 -0.0523657 0 0 -1e-07 0 0 -3.663e-11
37 -2.21477e-05 -4.27791e-05 -0.0560145 0 0 -1e-07 0 0 -3.762e-11
38 -3.13844e-06 -8.55431e-05 -0.0368852 0 0 -1e-07 0 0 -3.861e-11
39 -1.42685e-05 7.6019e-06 -0.0620418 0 0 -1e-07 0 0 -3.96e-11
40 -0.000191697 -0.000145189 -0.107457 0 0 -1e-07 0 0 -4.059e-11
41 -4.27284e-05 0.000172248 -0.171401 0 0 -1e-07 0 0 -4.158e-11
42 -0.000237912 -0.000102308 -0.0817795 0 0 -1e-07 0 0 -4.257e-11
43 -0.000187422 8.47987e-06 -0.183665 0 0 -1e-07 0 0 -4.356e-11
44 -0.000129736 -0.000280828 -0.183758 0 0 -1e-07 0 0 -4.455e-11
45 6.0411e-05 -0.000526604 -0.0687692 0 0 -1e-07 0 0 -4.554e-11
