# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.18799e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.37599e-12 
2 0 0 0 0 0 -1e-07 0 0 -3.56398e-12 
3 0 0 0 0 0 -1e-07 0 0 -4.75198e-12 
4 0 0 0 0 0 -1e-07 0 0 -5.93997e-12 
5 0 0 0 0 0 -1e-07 0 0 -7.12796e-12 
6 0 0 0 0 0 -1e-07 0 0 -8.31596e-12 
7 0 0 0 0 0 -1e-07 0 0 -9.50395e-12 
8 0 0 0 0 0 -1e-07 0 0 -1.06919e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.18799e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.30679e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.42559e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.54439e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.66319e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.78199e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.90079e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.01959e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.13839e-11 
18 0 0 0 0 0 -1e-07 0 0 -2.25719e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.37599e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.49479e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.61359e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.73239e-11 
23 2.21173e-10 2.66046e-10 -0.0165688 0 0 -1e-07 0 0 -2.85119e-11 
24 -4.01835e-11 3.23496e-10 -0.0266072 0 0 -1e-07 0 0 -2.96999e-11 
25 5.50223e-11 -1.45884e-10 -0.0231467 0 0 -1e-07 0 0 -3.08878e-11 
26 -1.56861e-11 -7.9312e-11 -0.0144856 0 0 -1e-07 0 0 -3.20758e-11 
27 4.09688e-10 -1.23255e-10 -0.056502 0 0 -1e-07 0 0 -3.32638e-11 
28 -3.7895e-12 2.17631e-11 -0.0240934 0 0 -1e-07 0 0 -3.44518e-11 
29 5.58032e-05 -6.75614e-06 -0.0263165 0 0 -1e-07 0 0 -3.56398e-11 
30 1.01091e-10 -2.58594e-10 -0.0602437 0 0 -1e-07 0 0 -3.68278e-11 
31 -0.000140831 -0.000170339 -0.0645199 0 0 -1e-07 0 0 -3.80158e-11 
32 3.7627e-05 -5.51146e-05 -0.0610679 0 0 -1e-07 0 0 -3.92038e-11 
33 7.57542e-05 -2.84973e-05 -0.0752942 0 0 -1e-07 0 0 -4.03918e-11 
34 -0.000147829 -0.000588574 -0.120301 0 0 -1e-07 0 0 -4.15798e-11 
35 9.75482e-06 -6.48807e-05 -0.0561517 0 0 -1e-07 0 0 -4.27678e-11 
36 0.0001778 -8.65819e-05 -0.169798 0 0 -1e-07 0 0 -4.39558e-11 
37 -0.000143308 -0.000353934 -0.126965 0 0 -1e-07 0 0 -4.51438e-11 
38 0.000209376 -0.000400803 -0.0653209 0 0 -1e-07 0 0 -4.63318e-11 
39 0.000375524 7.79907e-05 -0.232714 0 0 -1e-07 0 0 -4.75198e-11 
40 -7.45247e-05 -0.000372768 -0.136414 0 0 -1e-07 0 0 -4.87078e-11 
41 0.000350983 0.00011535 -0.146419 0 0 -1e-07 0 0 -4.98958e-11 
42 -0.000377913 -0.000397267 -0.183122 0 0 -1e-07 0 0 -5.10837e-11 
43 0.000278852 0.000156039 -0.224117 0 0 -1e-07 0 0 -5.22717e-11 
44 0.00019747 -0.000397848 -0.150062 0 0 -1e-07 0 0 -5.34597e-11 
45 -0.000790047 -0.000235376 -0.119349 0 0 -1e-07 0 0 -5.46477e-11 
46 -9.7223e-06 -0.00113319 -0.330654 0 0 -1e-07 0 0 -5.58357e-11 
47 0.00013564 0.00024727 -0.297791 0 0 -1e-07 0 0 -5.70237e-11 
48 -2.13222e-05 0.000769146 -0.141489 0 0 -1e-07 0 0 -5.82117e-11 
49 0.000208016 1.93129e-05 -0.315315 0 0 -1e-07 0 0 -5.93997e-11 
50 -0.000108119 -0.000131979 -0.291168 0 0 -1e-07 0 0 -6.05877e-11 
51 0.000952018 -0.000516261 -0.445573 0 0 -1e-07 0 0 -6.17757e-11 
52 -0.000437249 -0.00143022 -0.443222 0 0 -1e-07 0 0 -6.29637e-11 
53 0.000559179 -0.000463106 -0.289665 0 0 -1e-07 0 0 -6.41517e-11 
54 -0.000264485 0.000113777 -0.251779 0 0 -1e-07 0 0 -6.53397e-11 
55 0.00059559 0.000144132 -0.191916 0 0 -1e-07 0 0 -6.65277e-11 
56 -0.000421772 0.000198525 -0.269259 0 0 -1e-07 0 0 -6.77157e-11 
57 -0.000334657 -0.000759499 -0.435471 0 0 -1e-07 0 0 -6.89037e-11 
58 -0.000138652 -0.00012015 -0.420155 0 0 -1e-07 0 0 -7.00917e-11 
59 -0.000378135 0.00144767 -0.373661 0 0 -1e-07 0 0 -7.12796e-11 
60 0.00112854 -0.0019183 -0.526988 0 0 -1e-07 0 0 -7.24676e-11 
61 0.000140749 0.000273815 -0.438589 0 0 -1e-07 0 0 -7.36556e-11 
62 0.00241075 0.00160991 -0.335043 0 0 -1e-07 0 0 -7.48436e-11 
63 0.000538979 -9.58257e-05 -0.321516 0 0 -1e-07 0 0 -7.60316e-11 
64 -3.83079e-05 -0.00100974 -0.281398 0 0 -1e-07 0 0 -7.72196e-11 
65 0.00119385 0.00049015 -0.401934 0 0 -1e-07 0 0 -7.84076e-11 
66 0.000376228 0.000275077 -0.298253 0 0 -1e-07 0 0 -7.95956e-11 
67 -0.000618576 -0.000178815 -0.423705 0 0 -1e-07 0 0 -8.07836e-11 
68 -0.00023629 0.00056901 -0.337957 0 0 -1e-07 0 0 -8.19716e-11 
69 -0.000682114 6.99318e-05 -0.400544 0 0 -1e-07 0 0 -8.31596e-11 
70 0.000260299 -0.000910921 -0.453972 0 0 -1e-07 0 0 -8.43476e-11 
71 -0.000151255 0.000111887 -0.372916 0 0 -1e-07 0 0 -8.55356e-11 
72 0.000634893 0.00081409 -0.519866 0 0 -1e-07 0 0 -8.67236e-11 
73 0.00271191 0.00257993 -0.433011 0 0 -1e-07 0 0 -8.79116e-11 
74 -0.000524363 -0.000259962 -0.302856 0 0 -1e-07 0 0 -8.90996e-11 
75 -4.0141e-05 -0.00172334 -0.346827 0 0 -1e-07 0 0 -9.02876e-11 
76 -0.000609205 0.000941254 -0.371554 0 0 -1e-07 0 0 -9.14755e-11 
77 -0.000226537 0.000725646 -0.348739 0 0 -1e-07 0 0 -9.26635e-11 
78 0.000214772 0.000381731 -0.41456 0 0 -1e-07 0 0 -9.38515e-11 
79 -0.000306347 0.000187231 -0.247067 0 0 -1e-07 0 0 -9.50395e-11 
80 0.000498577 -0.00151339 -0.602169 0 0 -1e-07 0 0 -9.62275e-11 
81 -0.000580472 -0.00186157 -0.658938 0 0 -1e-07 0 0 -9.74155e-11 
82 5.88181e-05 -0.000692722 -0.357771 0 0 -1e-07 0 0 -9.86035e-11 
83 0.000655863 0.00118477 -0.462257 0 0 -1e-07 0 0 -9.97915e-11 
84 -0.000161863 -0.001457 -0.34504 0 0 -1e-07 0 0 -1.0098e-10 
