# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -9.20694e-13 
1 0 0 0 0 0 -1e-07 0 0 -1.84139e-12 
2 0 0 0 0 0 -1e-07 0 0 -2.76208e-12 
3 0 0 0 0 0 -1e-07 0 0 -3.68278e-12 
4 0 0 0 0 0 -1e-07 0 0 -4.60347e-12 
5 0 0 0 0 0 -1e-07 0 0 -5.52416e-12 
6 0 0 0 0 0 -1e-07 0 0 -6.44486e-12 
7 0 0 0 0 0 -1e-07 0 0 -7.36555e-12 
8 0 0 0 0 0 -1e-07 0 0 -8.28625e-12 
9 0 0 0 0 0 -1e-07 0 0 -9.20694e-12 
10 0 0 0 0 0 -1e-07 0 0 -1.01276e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.10483e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.1969e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.28897e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.38104e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.47311e-11 
16 0 0 0 0 0 -1e-07 0 0 -1.56518e-11 
17 0 0 0 0 0 -1e-07 0 0 -1.65725e-11 
18 0 0 0 0 0 -1e-07 0 0 -1.74932e-11 
19 0 0 0 0 0 -1e-07 0 0 -1.84139e-11 
20 0 0 0 0 0 -1e-07 0 0 -1.93346e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.02553e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.1176e-11 
23 0 0 0 0 0 -1e-07 0 0 -2.20967e-11 
24 0 0 0 0 0 -1e-07 0 0 -2.30174e-11 
25 0 0 0 0 0 -1e-07 0 0 -2.3938e-11 
26 0 0 0 0 0 -1e-07 0 0 -2.48587e-11 
27 0 0 0 0 0 -1e-07 0 0 -2.57794e-11 
28 0 0 0 0 0 -1e-07 0 0 -2.67001e-11 
29 3.41498e-11 4.46405e-11 -0.0273215 0 0 -1e-07 0 0 -2.76208e-11 
30 0 0 0 0 0 -1e-07 0 0 -2.85415e-11 
31 -7.68587e-11 -5.16572e-11 -0.0449463 0 0 -1e-07 0 0 -2.94622e-11 
32 -1.39494e-12 -3.1868e-11 -0.0387475 0 0 -1e-07 0 0 -3.03829e-11 
33 0 0 0 0 0 -1e-07 0 0 -3.13036e-11 
34 -8.07156e-11 1.28514e-10 -0.0652551 0 0 -1e-07 0 0 -3.22243e-11 
35 4.18659e-11 4.27342e-11 -0.0541161 0 0 -1e-07 0 0 -3.3145e-11 
36 -2.40493e-06 1.22708e-06 -0.0405715 0 0 -1e-07 0 0 -3.40657e-11 
37 0 0 0 0 0 -1e-07 0 0 -3.49864e-11 
38 -4.73939e-12 4.25263e-11 -0.0997973 0 0 -1e-07 0 0 -3.59071e-11 
39 8.97404e-06 -3.29402e-05 -0.0151591 0 0 -1e-07 0 0 -3.68278e-11 
