# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.287e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.574e-12 
2 0 0 0 0 0 -1e-07 0 0 -3.86099e-12 
3 0 0 0 0 0 -1e-07 0 0 -5.14799e-12 
4 0 0 0 0 0 -1e-07 0 0 -6.43499e-12 
5 0 0 0 0 0 -1e-07 0 0 -7.72199e-12 
6 0 0 0 0 0 -1e-07 0 0 -9.00899e-12 
7 0 0 0 0 0 -1e-07 0 0 -1.0296e-11 
8 0 0 0 0 0 -1e-07 0 0 -1.1583e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.287e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.4157e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.5444e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.6731e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.8018e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.9305e-11 
15 0 0 0 0 0 -1e-07 0 0 -2.0592e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.1879e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.3166e-11 
18 0 0 0 0 0 -1e-07 0 0 -2.4453e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.574e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.7027e-11 
21 -9.05269e-11 7.71814e-12 -0.0122916 0 0 -1e-07 0 0 -2.8314e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.9601e-11 
23 -1.53688e-12 -1.27953e-10 -0.0380198 0 0 -1e-07 0 0 -3.0888e-11 
24 2.04879e-10 8.61713e-11 -0.0108642 0 0 -1e-07 0 0 -3.2175e-11 
25 -2.3531e-11 -8.91344e-11 -0.0425075 0 0 -1e-07 0 0 -3.3462e-11 
26 0.000107594 0.000104038 -0.0282456 0 0 -1e-07 0 0 -3.4749e-11 
27 -5.79463e-05 -0.000146788 -0.0509048 0 0 -1e-07 0 0 -3.6036e-11 
28 0 0 0 0 0 -1e-07 0 0 -3.7323e-11 
29 1.80582e-06 -3.17067e-07 -0.0319999 0 0 -1e-07 0 0 -3.86099e-11 
30 2.6791e-05 -0.000107455 -0.0340643 0 0 -1e-07 0 0 -3.98969e-11 
31 -8.27387e-05 -3.94997e-05 -0.0861476 0 0 -1e-07 0 0 -4.11839e-11 
32 -6.61794e-05 -0.000373846 -0.112379 0 0 -1e-07 0 0 -4.24709e-11 
33 0.000133801 7.79248e-05 -0.0920667 0 0 -1e-07 0 0 -4.37579e-11 
34 -0.000127355 -1.3236e-05 -0.106773 0 0 -1e-07 0 0 -4.50449e-11 
35 8.66406e-05 -0.000275413 -0.035651 0 0 -1e-07 0 0 -4.63319e-11 
36 0.000242599 -0.000397517 -0.182479 0 0 -1e-07 0 0 -4.76189e-11 
37 -0.000198672 5.38182e-05 -0.097078 0 0 -1e-07 0 0 -4.89059e-11 
38 0.000199605 -2.4613e-05 -0.0850195 0 0 -1e-07 0 0 -5.01929e-11 
39 0.000181344 -0.000205396 -0.237375 0 0 -1e-07 0 0 -5.14799e-11 
40 9.11317e-05 -5.23791e-05 -0.0959684 0 0 -1e-07 0 0 -5.27669e-11 
41 -0.000771213 -0.000911207 -0.139852 0 0 -1e-07 0 0 -5.40539e-11 
42 0.000291508 -0.000336778 -0.122216 0 0 -1e-07 0 0 -5.53409e-11 
43 -0.000268322 -0.000168803 -0.226845 0 0 -1e-07 0 0 -5.66279e-11 
44 -0.000547772 -2.86737e-05 -0.220637 0 0 -1e-07 0 0 -5.79149e-11 
45 0.000142681 -0.000279367 -0.266519 0 0 -1e-07 0 0 -5.92019e-11 
46 -0.000569528 -0.000236905 -0.263904 0 0 -1e-07 0 0 -6.04889e-11 
47 -0.000188214 -0.000216749 -0.255262 0 0 -1e-07 0 0 -6.17759e-11 
48 0.000342388 0.000447382 -0.235647 0 0 -1e-07 0 0 -6.30629e-11 
49 -0.000763306 0.000552186 -0.237605 0 0 -1e-07 0 0 -6.43499e-11 
50 2.37844e-06 -0.000520647 -0.235537 0 0 -1e-07 0 0 -6.56369e-11 
51 -0.00043001 0.000559315 -0.19957 0 0 -1e-07 0 0 -6.69239e-11 
52 0.00030382 0.00028549 -0.104101 0 0 -1e-07 0 0 -6.82109e-11 
53 0.000569194 -4.46438e-05 -0.309332 0 0 -1e-07 0 0 -6.94979e-11 
54 -0.000522241 0.000291111 -0.310517 0 0 -1e-07 0 0 -7.07849e-11 
55 0.000143931 -0.000204927 -0.250701 0 0 -1e-07 0 0 -7.20719e-11 
56 -0.000319635 -1.12898e-05 -0.343679 0 0 -1e-07 0 0 -7.33589e-11 
57 0.000228247 -0.000178954 -0.313007 0 0 -1e-07 0 0 -7.46459e-11 
58 0.000159944 0.000411333 -0.321084 0 0 -1e-07 0 0 -7.59329e-11 
59 0.000848359 3.19432e-05 -0.375155 0 0 -1e-07 0 0 -7.72199e-11 
60 0.000506703 0.00106112 -0.276357 0 0 -1e-07 0 0 -7.85069e-11 
61 -0.000391251 0.00016624 -0.201249 0 0 -1e-07 0 0 -7.97939e-11 
62 -0.000479923 -0.00033348 -0.30901 0 0 -1e-07 0 0 -8.10809e-11 
63 -7.07477e-06 -7.74045e-05 -0.319731 0 0 -1e-07 0 0 -8.23679e-11 
64 -0.000145079 -0.000279828 -0.24525 0 0 -1e-07 0 0 -8.36549e-11 
65 -2.19598e-05 -0.000268869 -0.310582 0 0 -1e-07 0 0 -8.49419e-11 
66 0.0010739 -0.000767947 -0.345884 0 0 -1e-07 0 0 -8.62289e-11 
67 0.000609186 0.000522486 -0.288921 0 0 -1e-07 0 0 -8.75159e-11 
68 0.000333551 -0.000398584 -0.27846 0 0 -1e-07 0 0 -8.88029e-11 
69 -0.000427111 -0.000622279 -0.317574 0 0 -1e-07 0 0 -9.00899e-11 
70 0.00109699 -0.00154605 -0.445816 0 0 -1e-07 0 0 -9.13769e-11 
71 0.000303929 -0.00147984 -0.237411 0 0 -1e-07 0 0 -9.26639e-11 
72 -3.53093e-05 1.96414e-05 -0.303785 0 0 -1e-07 0 0 -9.39509e-11 
73 0.000252515 -0.00236513 -0.279999 0 0 -1e-07 0 0 -9.52379e-11 
74 0.0007478 -0.000501953 -0.213376 0 0 -1e-07 0 0 -9.65249e-11 
75 0.00115202 -3.38706e-05 -0.303984 0 0 -1e-07 0 0 -9.78119e-11 
76 -0.000118504 -0.002009 -0.223279 0 0 -1e-07 0 0 -9.90989e-11 
77 -0.000812598 -0.00125433 -0.308232 0 0 -1e-07 0 0 -1.00386e-10 
78 -0.00102764 -0.000184308 -0.318155 0 0 -1e-07 0 0 -1.01673e-10 
79 -0.000120377 0.00124477 -0.296998 0 0 -1e-07 0 0 -1.0296e-10 
80 -0.000564237 -0.00186477 -0.259215 0 0 -1e-07 0 0 -1.04247e-10 
