# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -9.9e-13 
1 0 0 0 0 0 -1e-07 0 0 -1.98e-12 
2 0 0 0 0 0 -1e-07 0 0 -2.97e-12 
3 0 0 0 0 0 -1e-07 0 0 -3.96e-12 
4 0 0 0 0 0 -1e-07 0 0 -4.95e-12 
5 0 0 0 0 0 -1e-07 0 0 -5.94e-12 
6 0 0 0 0 0 -1e-07 0 0 -6.93e-12 
7 0 0 0 0 0 -1e-07 0 0 -7.92e-12 
8 0 0 0 0 0 -1e-07 0 0 -8.91e-12 
9 0 0 0 0 0 -1e-07 0 0 -9.9e-12 
10 0 0 0 0 0 -1e-07 0 0 -1.089e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.188e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.287e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.386e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.485e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.584e-11 
16 0 0 0 0 0 -1e-07 0 0 -1.683e-11 
17 0 0 0 0 0 -1e-07 0 0 -1.782e-11 
18 0 0 0 0 0 -1e-07 0 0 -1.881e-11 
19 0 0 0 0 0 -1e-07 0 0 -1.98e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.079e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.178e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.277e-11 
23 0 0 0 0 0 -1e-07 0 0 -2.376e-11 
24 0 0 0 0 0 -1e-07 0 0 -2.475e-11 
25 0 0 0 0 0 -1e-07 0 0 -2.574e-11 
26 0 0 0 0 0 -1e-07 0 0 -2.673e-11 
27 3.44728e-10 1.23544e-10 -0.0212739 0 0 -1e-07 0 0 -2.772e-11 
28 0 0 0 0 0 -1e-07 0 0 -2.871e-11 
29 -3.98017e-10 2.11638e-10 -0.0351646 0 0 -1e-07 0 0 -2.97e-11 
30 -1.14412e-10 7.58044e-12 -0.0303801 0 0 -1e-07 0 0 -3.069e-11 
31 1.26411e-10 -7.62617e-11 -0.0188905 0 0 -1e-07 0 0 -3.168e-11 
32 -2.25782e-10 -3.8622e-10 -0.0318644 0 0 -1e-07 0 0 -3.267e-11 
33 0.000118991 0.000111678 -0.0611289 0 0 -1e-07 0 0 -3.366e-11 
34 -5.95181e-05 -0.000134526 -0.0459222 0 0 -1e-07 0 0 -3.465e-11 
35 1.00775e-10 -1.58918e-11 -0.0259627 0 0 -1e-07 0 0 -3.564e-11 
36 8.96313e-11 9.29013e-11 -0.0523657 0 0 -1e-07 0 0 -3.663e-11 
37 -0.000144403 -0.000204598 -0.104541 0 0 -1e-07 0 0 -3.762e-11 
38 4.3314e-05 -6.4433e-05 -0.028077 0 0 -1e-07 0 0 -3.861e-11 
39 -8.98394e-06 1.54326e-06 -0.0325111 0 0 -1e-07 0 0 -3.96e-11 
40 6.02132e-07 -0.000420493 -0.163176 0 0 -1e-07 0 0 -4.059e-11 
41 -1.66196e-05 -6.95058e-05 -0.129856 0 0 -1e-07 0 0 -4.158e-11 
42 0.000162659 0.000152789 -0.0820117 0 0 -1e-07 0 0 -4.257e-11 
43 -0.000152602 -0.000249832 -0.177254 0 0 -1e-07 0 0 -4.356e-11 
44 0.000212171 -0.000450411 -0.185834 0 0 -1e-07 0 0 -4.455e-11 
45 0.000189439 0.000125579 -0.0733043 0 0 -1e-07 0 0 -4.554e-11 
