# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.18799e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.37599e-12 
2 0 0 0 0 0 -1e-07 0 0 -3.56398e-12 
3 0 0 0 0 0 -1e-07 0 0 -4.75198e-12 
4 0 0 0 0 0 -1e-07 0 0 -5.93997e-12 
5 0 0 0 0 0 -1e-07 0 0 -7.12796e-12 
6 0 0 0 0 0 -1e-07 0 0 -8.31596e-12 
7 0 0 0 0 0 -1e-07 0 0 -9.50395e-12 
8 0 0 0 0 0 -1e-07 0 0 -1.06919e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.18799e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.30679e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.42559e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.54439e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.66319e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.78199e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.90079e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.01959e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.13839e-11 
18 0 0 0 0 0 -1e-07 0 0 -2.25719e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.37599e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.49479e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.61359e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.73239e-11 
23 -6.98197e-12 2.44324e-11 -0.0155332 0 0 -1e-07 0 0 -2.85119e-11 
24 3.09307e-12 1.11002e-12 -0.0249442 0 0 -1e-07 0 0 -2.96999e-11 
25 1.24624e-12 4.58978e-12 -0.0217 0 0 -1e-07 0 0 -3.08878e-11 
26 -8.99978e-12 -5.94596e-12 -0.0135802 0 0 -1e-07 0 0 -3.20758e-11 
27 6.89673e-11 -1.32214e-12 -0.0529707 0 0 -1e-07 0 0 -3.32638e-11 
28 -7.4494e-12 1.69627e-13 -0.0225876 0 0 -1e-07 0 0 -3.44518e-11 
29 1.68463e-05 3.56362e-05 -0.0126234 0 0 -1e-07 0 0 -3.56398e-11 
30 3.77412e-11 -2.37921e-11 -0.0564784 0 0 -1e-07 0 0 -3.68278e-11 
31 1.86674e-05 -1.4818e-05 -0.0530175 0 0 -1e-07 0 0 -3.80158e-11 
32 1.56165e-06 -2.34877e-05 -0.0268815 0 0 -1e-07 0 0 -3.92038e-11 
33 2.11227e-06 -9.60149e-06 -0.0604126 0 0 -1e-07 0 0 -4.03918e-11 
34 1.18889e-05 -3.9933e-06 -0.0993733 0 0 -1e-07 0 0 -4.15798e-11 
35 -4.14919e-05 3.94066e-05 -0.0330987 0 0 -1e-07 0 0 -4.27678e-11 
36 -8.66799e-06 0.000167443 -0.138061 0 0 -1e-07 0 0 -4.39558e-11 
37 -1.37082e-05 -0.000253831 -0.131121 0 0 -1e-07 0 0 -4.51438e-11 
38 -1.14016e-05 -1.73054e-05 -0.0298995 0 0 -1e-07 0 0 -4.63318e-11 
39 -8.83222e-05 -2.65734e-05 -0.18286 0 0 -1e-07 0 0 -4.75198e-11 
40 3.1976e-05 5.1306e-07 -0.054938 0 0 -1e-07 0 0 -4.87078e-11 
41 -7.22761e-06 3.65752e-05 -0.0663374 0 0 -1e-07 0 0 -4.98958e-11 
42 4.75349e-05 5.2443e-05 -0.232915 0 0 -1e-07 0 0 -5.10837e-11 
43 2.77509e-05 1.56975e-05 -0.140567 0 0 -1e-07 0 0 -5.22717e-11 
44 -1.52259e-05 2.12598e-05 -0.148077 0 0 -1e-07 0 0 -5.34597e-11 
45 5.29397e-05 -1.41889e-05 -0.0758825 0 0 -1e-07 0 0 -5.46477e-11 
46 0.000101715 -9.71209e-05 -0.236157 0 0 -1e-07 0 0 -5.58357e-11 
47 -1.03038e-06 -1.81088e-05 -0.132155 0 0 -1e-07 0 0 -5.70237e-11 
48 -3.57388e-05 -0.000176259 -0.169532 0 0 -1e-07 0 0 -5.82117e-11 
49 -2.23175e-05 0.000123072 -0.280194 0 0 -1e-07 0 0 -5.93997e-11 
50 -1.70841e-05 8.52191e-05 -0.22101 0 0 -1e-07 0 0 -6.05877e-11 
51 0.000328227 -1.74491e-05 -0.210937 0 0 -1e-07 0 0 -6.17757e-11 
52 -6.43621e-05 -4.85204e-07 -0.20129 0 0 -1e-07 0 0 -6.29637e-11 
53 -0.000100181 -8.70066e-05 -0.17973 0 0 -1e-07 0 0 -6.41517e-11 
54 -0.000126881 -0.00014252 -0.289145 0 0 -1e-07 0 0 -6.53397e-11 
55 -0.000197179 8.1894e-05 -0.307845 0 0 -1e-07 0 0 -6.65277e-11 
56 0.000340691 -0.000668907 -0.201264 0 0 -1e-07 0 0 -6.77157e-11 
57 0.000154447 -6.79206e-05 -0.217744 0 0 -1e-07 0 0 -6.89037e-11 
58 -0.000273157 -2.14478e-05 -0.313281 0 0 -1e-07 0 0 -7.00917e-11 
59 -9.68284e-05 1.23338e-07 -0.250609 0 0 -1e-07 0 0 -7.12796e-11 
60 0.000236632 0.000271282 -0.164219 0 0 -1e-07 0 0 -7.24676e-11 
61 0.00060778 3.768e-06 -0.384598 0 0 -1e-07 0 0 -7.36556e-11 
62 4.80192e-05 -0.000176798 -0.273648 0 0 -1e-07 0 0 -7.48436e-11 
63 0.000159984 1.78221e-05 -0.328316 0 0 -1e-07 0 0 -7.60316e-11 
64 0.000406207 -0.000242975 -0.251564 0 0 -1e-07 0 0 -7.72196e-11 
65 -0.000285247 -6.19449e-05 -0.230197 0 0 -1e-07 0 0 -7.84076e-11 
66 -0.000118709 -0.000368126 -0.262439 0 0 -1e-07 0 0 -7.95956e-11 
67 -0.000154489 -0.000290762 -0.300333 0 0 -1e-07 0 0 -8.07836e-11 
68 0.000108903 -0.000135025 -0.262669 0 0 -1e-07 0 0 -8.19716e-11 
69 0.00035055 0.000122562 -0.381051 0 0 -1e-07 0 0 -8.31596e-11 
70 -0.000154385 0.000202519 -0.233323 0 0 -1e-07 0 0 -8.43476e-11 
71 -0.000240328 -0.000342417 -0.263396 0 0 -1e-07 0 0 -8.55356e-11 
72 -0.000358742 0.000318449 -0.28967 0 0 -1e-07 0 0 -8.67236e-11 
73 0.000193275 0.000224855 -0.201298 0 0 -1e-07 0 0 -8.79116e-11 
74 0.000158513 0.000367214 -0.245918 0 0 -1e-07 0 0 -8.90996e-11 
75 4.49991e-05 0.000145567 -0.280625 0 0 -1e-07 0 0 -9.02876e-11 
76 -0.000473023 0.00021302 -0.22494 0 0 -1e-07 0 0 -9.14755e-11 
77 1.98985e-06 -0.000176546 -0.296911 0 0 -1e-07 0 0 -9.26635e-11 
78 -6.2192e-05 -0.000284321 -0.302664 0 0 -1e-07 0 0 -9.38515e-11 
79 0.000419763 -0.000190256 -0.304633 0 0 -1e-07 0 0 -9.50395e-11 
80 0.000465852 -0.000258258 -0.276247 0 0 -1e-07 0 0 -9.62275e-11 
81 -0.000100143 -0.000457315 -0.240878 0 0 -1e-07 0 0 -9.74155e-11 
82 -0.000555365 -0.000254053 -0.390739 0 0 -1e-07 0 0 -9.86035e-11 
