# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.48501e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.97001e-12 
2 0 0 0 0 0 -1e-07 0 0 -4.45502e-12 
3 0 0 0 0 0 -1e-07 0 0 -5.94003e-12 
4 0 0 0 0 0 -1e-07 0 0 -7.42503e-12 
5 0 0 0 0 0 -1e-07 0 0 -8.91004e-12 
6 0 0 0 0 0 -1e-07 0 0 -1.0395e-11 
7 0 0 0 0 0 -1e-07 0 0 -1.18801e-11 
8 0 0 0 0 0 -1e-07 0 0 -1.33651e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.48501e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.63351e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.78201e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.93051e-11 
13 0 0 0 0 0 -1e-07 0 0 -2.07901e-11 
14 0 0 0 0 0 -1e-07 0 0 -2.22751e-11 
15 0 0 0 0 0 -1e-07 0 0 -2.37601e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.52451e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.67301e-11 
18 -6.36832e-11 -5.01435e-11 -0.0111435 0 0 -1e-07 0 0 -2.82151e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.97001e-11 
20 -7.63342e-11 -4.48603e-11 -0.0349683 0 0 -1e-07 0 0 -3.11851e-11 
21 -3.70083e-11 -6.74127e-11 -0.0264848 0 0 -1e-07 0 0 -3.26701e-11 
22 8.86491e-11 -5.90612e-11 -0.0223523 0 0 -1e-07 0 0 -3.41552e-11 
23 -8.4074e-11 3.55753e-11 -0.0170081 0 0 -1e-07 0 0 -3.56402e-11 
24 1.93766e-05 2.94752e-05 -0.0516286 0 0 -1e-07 0 0 -3.71252e-11 
25 -2.86878e-05 -3.72606e-05 -0.0369983 0 0 -1e-07 0 0 -3.86102e-11 
26 -2.22836e-05 -5.52666e-05 -0.0319034 0 0 -1e-07 0 0 -4.00952e-11 
27 -3.90023e-05 -0.000117638 -0.0763958 0 0 -1e-07 0 0 -4.15802e-11 
28 -4.67963e-06 -0.000206452 -0.0930524 0 0 -1e-07 0 0 -4.30652e-11 
29 1.38438e-05 -4.51393e-05 -0.114891 0 0 -1e-07 0 0 -4.45502e-11 
30 6.22393e-05 -0.00017334 -0.0478979 0 0 -1e-07 0 0 -4.60352e-11 
31 4.85524e-05 -4.31172e-05 -0.115484 0 0 -1e-07 0 0 -4.75202e-11 
